"uuid","base","subbase","classe_cnj","orgao_julgador","relator_id","data_julgamento","n_mentions","n_ementa","n_moral","award_ementa","award_any","harm_type"
"45e8e00a-797a-48b1-8d86-c105c7534e71","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-04,26,13,8,NA,NA,"consumer_service"
"4605e674-5bab-4c38-b2cf-957a9918694b","acordaos","acordaos",198,"7ª TURMA CÍVEL","f6abe097b7",2024-03-13,7,0,0,NA,NA,"other"
"46362e41-e4ed-42c7-b279-bd06e4863c4a","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-04,4,2,4,30000,30000,"state_liability"
"463b49f7-3a11-42c9-abbe-d36306f3f689","acordaos","acordaos",417,"2ª TURMA CRIMINAL","7cee760b43",2024-03-25,4,0,3,NA,500,"other"
"467eacb6-4ca3-44f4-8576-832f0571f040","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","5e0c5ae3c3",2024-03-18,6,3,4,NA,NA,"credit_listing"
"468d8f75-c4a1-4caf-aaa1-e9d26b766e33","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","aa0cab12a8",2024-03-18,14,7,8,NA,NA,"consumer_service"
"46d6de6e-ee54-4907-b783-a9fbcc0f36a1","acordaos","acordaos",198,"5ª TURMA CÍVEL","d17cb21a51",2024-03-21,5,0,0,NA,NA,"medical"
"470e8e69-ea13-47fd-90c7-f81f25720f11","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","a0f8949691",2024-03-18,26,13,6,1188.91,1188.91,"credit_listing"
"47112440-ba03-4da5-ba1c-72a234d7cae1","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","ef7646018c",2024-03-26,10,5,6,2000,2000,"credit_listing"
"471dffad-3e59-4a08-a84b-b48d4c42cade","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-01,14,7,4,NA,NA,"other"
"476fa7ac-9cf2-4feb-9529-49953efbb3c1","acordaos","acordaos",198,"1ª TURMA CÍVEL","3f8f67d7e7",2024-03-13,7,1,5,5000,5000,"other"
"47b355ec-b995-4756-984c-73d1f0f988cf","acordaos","acordaos",198,"1ª TURMA CÍVEL","d9e51b3034",2024-03-20,18,1,9,NA,2000,"other"
"4897e230-9917-4b6a-b8b1-59bafc536134","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","ef7646018c",2024-03-26,8,4,8,3000,3000,"air_travel"
"48ab4c8a-72d4-44a6-841e-98a98f0fbd64","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","aa0cab12a8",2024-03-18,28,14,0,NA,NA,"other"
"48cf231e-ef7b-4028-a828-de51510a853c","acordaos","acordaos",198,"6ª TURMA CÍVEL","d30385f876",2024-03-06,44,0,13,NA,3360,"honor_privacy"
"491e0600-e096-448b-921d-0b59a4bc729c","acordaos","acordaos",417,"2ª TURMA CRIMINAL","875abf85dd",2024-03-07,4,0,3,NA,300,"wrongful_death"
"49593b1a-6bd2-458f-9fda-f149019841d0","acordaos","acordaos",198,"2ª TURMA CÍVEL","4981944123",2024-03-06,24,1,20,10000,10000,"other"
"4983eb1a-44a9-44b8-9e10-49684d6ed34a","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-04,4,2,4,10000,10000,"air_travel"
"49bbef43-e9f7-4310-8424-3653786deb5e","acordaos","acordaos",1728,"1ª TURMA CÍVEL","3f8f67d7e7",2024-03-20,10,1,9,5000,5000,"consumer_service"
"4a2a1baa-5f11-4cf7-8663-5a1aa0eb7518","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-18,6,3,6,NA,NA,"honor_privacy"
